Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,4055,4516,5227,6209,6971,9748,10109,12439,15857,17804,20002,20561,20485,19907
Albania,3480,3922,4348,5611,7185,8052,8896,10677,12881,12044,11927,12891,12320,12776,13228,11387
Algeria,54790,54745,56760,67864,85325,103198,117027,134846,171008,137206,161155,200254,209021,209724,213860,166361
American Samoa,,,514,527,512,503,496,520,563,678,576,574,644,641,642,661
Andorra,1429,1547,1756,2362,2895,3160,3456,3953,4086,3674,3450,3629,3189,3194,3272,2790
Angola,9130,8936,15286,17813,23552,36971,52381,65266,88539,70307,83799,111790,128053,136710,145712,116194
Antigua and Barbuda,826,800,814,856,920,1023,1158,1313,1370,1228,1149,1138,1200,1181,1250,1337
Argentina,284204,268697,97724,127587,164658,198737,232557,287531,361558,332976,423627,530163,545982,552025,526320,594749
Armenia,1912,2118,2376,2807,3577,4900,6384,9206,11662,8648,9260,10142,10619,11121,11610,10553
Aruba,1873,1920,1941,2021,2228,2331,2425,2615,2745,2499,2391,2550,2535,2702,2765,2920
Australia,415223,378376,394649,466488,612490,693408,746054,853100,1053996,927805,1146138,1396650,1546152,1576184,1467484,1351694
Austria,196800,197338,213378,261696,300904,315974,335999,388691,430294,400172,391893,431120,409425,430069,441996,381818
Azerbaijan,5273,5708,6236,7276,8680,13246,20983,33050,48852,44291,52903,65952,69684,74164,75244,53074
"Bahamas, The",8076,8318,8881,8870,9055,9836,10167,10618,10526,9982,10096,10070,10721,10568,11112,11711
Bahrain,9063,8976,9594,11075,13150,15969,18505,21730,25711,22938,25713,28777,30749,32539,33388,31051
Bangladesh,53370,53991,54724,60159,65109,69443,71819,79612,91631,102478,115279,128638,133356,149990,172885,195079
Barbados,3060,3055,3107,3210,3445,3820,4218,4674,4785,4466,4530,4658,4610,4677,4697,4715
Belarus,12737,12355,14594,17828,23144,30208,36954,45277,60763,50874,57222,61758,65685,75528,78814,56455
Belgium,236205,236541,257158,317382,368537,385571,407918,470324,515224,481346,480952,522646,496181,521643,534678,462150
Belize,832,868,925,984,1051,1102,1210,1272,1351,1317,1377,1461,1523,1579,1663,1724
Benin,3511,3663,4175,5337,6179,6565,7028,8158,9748,9700,9535,10693,11141,12518,13285,11388
Bermuda,3480,3680,3937,4187,4485,4868,6144,6767,6980,6656,6635,6313,6378,6466,6414,6655
Bhutan,424,461,521,604,683,797,875,1168,1228,1234,1548,1777,1781,1756,1907,2004
Bolivia,8398,8142,7905,8082,8773,9549,11452,13120,16674,17340,19650,23963,27084,30659,32996,33000
Bosnia and Herzegovina,5506,5749,6651,8370,10596,11223,12865,15779,19113,17614,17177,18645,17227,18179,18558,16212
Botswana,5788,5490,5439,7512,8957,9919,10138,10939,10945,10267,12787,15352,14380,14902,16251,14421
Brazil,655421,559372,507962,558320,669317,891630,1107640,1397084,1695825,1667020,2208872,2616201,2465189,2472807,2455994,1802214
Brunei Darussalam,6001,5601,5843,6557,7872,9531,11471,12248,14393,10732,13707,18525,19048,18094,17098,12930
Bulgaria,13246,14183,16403,21145,26158,29869,34380,44405,54439,52024,50382,57386,54033,55615,56902,50647
Burkina Faso,2957,3190,3622,4741,5452,6146,6547,7626,9451,9451,10110,12080,12561,13444,13943,11832
Burundi,870,877,825,785,915,1117,1273,1356,1612,1781,2032,2236,2333,2452,2706,3104
Cabo Verde,539,563,621,814,924,972,1108,1514,1789,1712,1664,1866,1742,1850,1860,1597
Cambodia,3678,3984,4284,4658,5338,6293,7275,8639,10352,10402,11242,12830,14054,15228,16703,18050
Cameroon,10084,10371,11579,14549,17431,17944,19356,22365,26410,26018,26169,29375,29103,32357,34989,30929
Canada,742295,736380,757951,892382,1023197,1169358,1315415,1464977,1549131,1371153,1613464,1788648,1828689,1847209,1803533,1556130
