Country,Population2000,Population2019,PopulationGrowth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,20.8,38,3.2,20800000,21465600,22152499,22861379,23592943,24347917,25127051,25931116,26760912,27617261,28501014,29413046,30354264,31325600,32328019,33362516
Albania,3.1,2.9,-0.4,3100000,3087600,3075250,3062949,3050697,3038494,3026340,3014235,3002178,2990169,2978208,2966296,2954430,2942613,2930842,2919119
Algeria,31,43.1,1.7,31000000,31527000,32062959,32608029,33162366,33726126,34299470,34882561,35475565,36078649,36691986,37315750,37950118,38595270,39251389,39918663
American Samoa,0.1,0.1,-0.2,100000,99800,99600,99401,99202,99004,98806,98608,98411,98214,98018,97822,97626,97431,97236,97042
Andorra,0.1,0.1,0.9,100000,100900,101808,102724,103649,104582,105523,106473,107431,108398,109373,110358,111351,112353,113364,114385
Angola,16.4,31.8,3.5,16400000,16974000,17568090,18182973,18819377,19478055,20159787,20865380,21595668,22351517,23133820,23943503,24781526,25648879,26546590,27475721
Antigua and Barbuda,0.1,0.1,1.3,100000,101300,102617,103951,105302,106671,108058,109463,110886,112327,113787,115267,116765,118283,119821,121378
Argentina,36.9,44.9,1,36900000,37269000,37641690,38018107,38398288,38782271,39170094,39561794,39957412,40356987,40760556,41168162,41579844,41995642,42415598,42839754
Armenia,3.1,3,-0.2,3100000,3093800,3087612,3081437,3075274,3069124,3062986,3056860,3050746,3044644,3038555,3032478,3026413,3020360,3014319,3008291
Aruba,0.1,0.1,0.8,100000,100800,101606,102419,103239,104065,104897,105736,106582,107435,108294,109161,110034,110914,111801,112696
Australia,19.2,25.4,1.5,19200000,19488000,19780320,20077025,20378180,20683853,20994111,21309022,21628658,21953088,22282384,22616620,22955869,23300207,23649710,24004456
Austria,8,8.9,0.5,8000000,8040000,8080200,8120601,8161204,8202010,8243020,8284235,8325656,8367285,8409121,8451167,8493422,8535890,8578569,8621462
Azerbaijan,8,10,1.2,8000000,8096000,8193152,8291470,8390967,8491659,8593559,8696682,8801042,8906654,9013534,9121697,9231157,9341931,9454034,9567482
"Bahamas, The",0.3,0.4,1.4,300000,304200,308459,312777,317156,321596,326099,330664,335293,339987,344747,349574,354468,359430,364462,369565
Bahrain,0.7,1.6,4.8,700000,733600,768813,805716,844390,884921,927397,971912,1018564,1067455,1118693,1172390,1228665,1287641,1349448,1414221
Bangladesh,127.7,163,1.3,127700000,129360100,131041781,132745324,134471014,136219137,137989986,139783855,141601046,143441859,145306603,147195589,149109132,151047551,153011169,155000314
Barbados,0.3,0.3,0.3,300000,300900,301803,302708,303616,304527,305441,306357,307276,308198,309122,310050,310980,311913,312849,313787
Belarus,10,9.4,-0.3,10000000,9970000,9940090,9910270,9880539,9850897,9821345,9791881,9762505,9733217,9704018,9674906,9645881,9616943,9588093,9559328
Belgium,10.3,11.5,0.6,10300000,10361800,10423971,10486515,10549434,10612730,10676407,10740465,10804908,10869737,10934956,11000566,11066569,11132968,11199766,11266965
Belize,0.2,0.4,2.4,200000,204800,209715,214748,219902,225180,230584,236118,241785,247588,253530,259615,265846,272226,278759,285450
Benin,6.9,11.8,2.9,6900000,7100100,7306003,7517877,7735895,7960236,8191083,8428625,8673055,8924573,9183386,9449704,9723746,10005734,10295901,10594482
Bermuda,0.1,0.1,0.2,100000,100200,100400,100601,100802,101004,101206,101408,101611,101814,102018,102222,102427,102631,102837,103042
Bhutan,0.6,0.8,1.3,600000,607800,615701,623706,631814,640027,648348,656776,665314,673963,682725,691600,700591,709699,718925,728271
Bolivia,8.4,11.5,1.6,8400000,8534400,8670950,8809686,8950641,9093851,9239352,9387182,9537377,9689975,9845015,10002535,10162575,10325177,10490379,10658226
Bosnia and Herzegovina,3.8,3.3,-0.7,3800000,3773400,3746986,3720757,3694712,3668849,3643167,3617665,3592341,3567195,3542224,3517429,3492807,3468357,3444079,3419970
Botswana,1.6,2.3,1.8,1600000,1628800,1658118,1687965,1718348,1749278,1780765,1812819,1845450,1878668,1912484,1946908,1981953,2017628,2053945,2090916
Brazil,174.8,211,1,174800000,176548000,178313480,180096615,181897581,183716557,185553722,187409260,189283352,191176186,193087948,195018827,196969015,198938705,200928092,202937373
Brunei Darussalam,0.3,0.4,1.4,300000,304200,308459,312777,317156,321596,326099,330664,335293,339987,344747,349574,354468,359430,364462,369565
Bulgaria,8.2,7,-0.8,8200000,8134400,8069325,8004770,7940732,7877206,7814189,7751675,7689662,7628144,7567119,7506582,7446530,7386957,7327862,7269239
Burkina Faso,11.6,20.3,2.9,11600000,11936400,12282556,12638750,13005273,13382426,13770517,14169862,14580788,15003631,15438736,15886459,16347167,16821234,17309050,17811013
Burundi,6.4,11.5,3.1,6400000,6598400,6802950,7013842,7231271,7455440,7686559,7924842,8170512,8423798,8684936,8954169,9231748,9517933,9812988,10117191
Cabo Verde,0.4,0.5,1.3,400000,405200,410468,415804,421209,426685,432232,437851,443543,449309,455150,461067,467061,473132,479283,485514
Cambodia,12.2,16.5,1.6,12200000,12395200,12593523,12795020,12999740,13207736,13419059,13633764,13851905,14073535,14298712,14527491,14759931,14996090,15236027,15479804
Cameroon,15.5,25.9,2.7,15500000,15918500,16348300,16789704,17243026,17708587,18186719,18677761,19182060,19699976,20231875,20778136,21339145,21915302,22507015,23114705
Canada,30.7,37.6,1.1,30700000,31037700,31379115,31724285,32073252,32426058,32782745,33143355,33507932,33876519,34249161,34625901,35006786,35391861,35781171,36174764
Cayman Islands,0,0.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,3.6,4.7,1.4,3600000,3650400,3701506,3753327,3805873,3859155,3913184,3967968,4023520,4079849,4136967,4194884,4253613,4313163,4373548,4434777
Chad,8.4,15.9,3.4,8400000,8685600,8980910,9286261,9601994,9928462,10266030,10615075,10975987,11349171,11735043,12134034,12546591,12973175,13414263,13870348
Channel Islands,0.1,0.2,0.8,100000,100800,101606,102419,103239,104065,104897,105736,106582,107435,108294,109161,110034,110914,111801,112696
Chile,15.3,19,1.1,15300000,15468300,15638451,15810474,15984389,16160218,16337980,16517698,16699393,16883086,17068800,17256557,17446379,17638289,17832310,18028466
China,"1,262.60","1,397.70",0.5,1262600000,1268913000,1275257565,1281633853,1288042022,1294482232,1300954643,1307459417,1313996714,1320566697,1327169531,1333805378,1340474405,1347176777,1353912661,1360682224
"Hong Kong SAR, China",6.7,7.5,0.6,6700000,6740200,6780641,6821325,6862253,6903427,6944847,6986516,7028435,7070606,7113030,7155708,7198642,7241834,7285285,7328996
"Macao SAR, China",0.4,0.6,2.1,400000,408400,416976,425733,434673,443801,453121,462637,472352,482272,492399,502740,513297,524076,535082,546319
Colombia,39.6,50.3,1.3,39600000,40114800,40636292,41164564,41699704,42241800,42790943,43347225,43910739,44481579,45059839,45645617,46239010,46840117,47449039,48065877
Comoros,0.5,0.9,2.4,500000,512000,524288,536871,549756,562950,576461,590296,604463,618970,633825,649037,664614,680565,696898,713624
"Congo, Dem. Rep.",47.1,86.8,3.2,47100000,48607200,50162630,51767835,53424405,55133986,56898274,58719019,60598027,62537164,64538353,66603581,68734895,70934412,73204313,75546851
"Congo, Rep.",3.1,5.4,2.9,3100000,3189900,3282407,3377597,3475547,3576338,3680052,3786773,3896590,4009591,4125869,4245519,4368639,4495330,4625694,4759840
